Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772196904	0	15327	18572	0	592312	6593	0	88	0	46	1	0	0	0	0	1	1
1772196906	2	469141	472512	0	592312	6593	0	88	0	14087	229	75	1	0	0	1	1
1772196908	4	469141	472512	0	592312	6593	0	88	0	60656	406	36346	33	0	0	1	1
1772196910	6	469141	472512	0	592312	6593	0	88	0	124890	723	37268	43	0	0	1	1
1772196912	8	469141	472512	0	592312	6593	0	88	0	143302	992	38560	53	0	0	1	1
1772196914	10	469141	472512	0	592312	6593	0	88	0	157449	1197	38739	56	0	0	1	1
1772196916	12	469141	472512	0	592312	6593	0	88	0	173205	1468	44360	72	0	0	1	1
1772196918	14	469141	472512	0	592312	6593	0	88	0	230126	1739	88815	113	0	0	1	1
1772196920	16	469141	472512	0	592312	6593	0	88	0	246991	1960	101664	151	0	0	1	1
1772196922	18	469141	472512	0	592312	6593	0	88	0	274324	2217	118842	181	0	0	1	1
1772196924	20	469141	472512	0	592312	6593	0	88	0	295885	2454	119161	186	0	0	1	1
1772196926	22	469141	472512	0	592312	6593	0	88	0	368428	2850	120357	192	0	0	1	1
1772196928	24	469141	472512	0	592312	6593	0	88	0	426321	3207	157447	225	0	0	1	1
1772196930	26	469141	472512	0	592312	6593	0	88	0	444953	3447	157682	228	0	0	1	1
1772196932	28	469141	472512	0	592312	6593	0	88	0	466717	3769	157962	232	0	0	1	1
1772196934	30	469141	472512	0	592312	6593	0	88	0	478978	3969	158556	233	0	0	1	1
1772196936	32	469141	472512	0	592312	6593	0	88	0	494775	4201	162320	254	0	0	1	1
1772196938	34	469141	472512	0	592312	6593	0	88	0	539669	4490	256638	387	0	0	1	1
1772196940	36	469139	472512	0	592312	6593	0	88	0	1368854	5539	395459	792	0	0	1	1
1772196942	38	469139	472512	0	592312	6593	0	88	0	1427763	5801	433036	855	0	0	1	1
1772196944	40	469139	472512	0	592312	6593	0	88	0	1453347	5986	436087	863	0	0	1	1
1772196946	42	469138	472512	0	592312	6593	0	88	0	1530458	6393	538095	1083	0	0	1	1
1772196948	44	469138	472512	0	592312	6593	0	88	0	2689445	7530	660463	1616	0	0	1	1
1772196950	46	469138	472512	0	592312	6593	0	88	0	2742726	7789	702146	1678	0	0	1	1
1772196952	48	469138	472512	0	592312	6593	0	88	0	2877743	8188	751986	1816	0	0	1	1
1772196954	50	469127	472512	0	592312	6593	0	88	0	5436374	10204	877412	2850	0	0	1	1
1772196956	52	469127	472512	0	592312	6593	0	88	0	9057038	12928	972366	4099	0	0	1	1
1772196958	54	469127	472512	0	592312	6593	0	88	0	9259007	13439	1073110	4372	0	0	1	1
1772196960	56	469127	472512	0	592312	6593	0	88	0	9381787	13844	1149632	4554	0	0	1	1
1772196962	58	469127	472512	0	592312	6593	0	88	0	9415953	14084	1163424	4568	0	0	1	1
1772196964	60	469126	472512	0	592312	6593	0	88	0	9776390	14694	1256902	4859	0	0	1	1
1772196966	62	469138	472512	0	592312	6593	0	88	0	9819322	14929	1289850	4932	0	0	1	1
1772196968	64	469138	472512	0	592312	6593	0	88	0	9864812	15164	1330309	5030	0	0	1	1
1772196970	66	469138	472512	0	592312	6593	0	88	0	9897246	15437	1360238	5089	0	0	1	1
1772196972	68	469137	472512	0	592312	6593	0	88	0	9979234	15907	1404985	5218	0	0	1	1
1772196974	70	469137	472512	0	592312	6593	0	88	0	10052051	16276	1462004	5430	0	0	1	1
1772196976	72	469137	472512	0	592312	6593	0	88	0	10115691	16586	1485386	5534	0	0	1	1
1772196978	74	469137	472512	0	592312	6593	0	88	0	10160599	16856	1523901	5631	0	0	1	1
1772196980	76	469137	472512	0	592312	6593	0	88	0	10205028	17075	1532780	5677	0	0	1	1
1772196982	78	469137	472512	0	592312	6593	0	88	0	10261249	17422	1570023	5812	0	0	1	1
1772196984	80	469137	472512	0	592312	6593	0	88	0	10304372	17685	1584073	5907	0	0	1	1
1772196986	82	469137	472512	0	592312	6593	0	88	0	10336081	17932	1588095	5935	0	0	1	1
1772196988	84	469137	472512	0	592312	6593	0	88	0	10347641	18121	1590939	5944	0	0	1	1
1772196990	86	469137	472512	0	592312	6593	0	88	0	10363436	18318	1593130	5951	0	0	1	1
1772196992	88	469137	472512	0	592312	6593	0	88	0	10415914	18649	1612884	6018	0	0	1	1
1772196994	90	469137	472512	0	592312	6593	0	88	0	10437139	18937	1613164	6022	0	0	1	1
1772196996	92	469137	472512	0	592312	6593	0	88	0	10458847	19158	1613649	6029	0	0	1	1
1772196998	94	469138	472512	0	592312	6593	0	88	0	10473957	19373	1614237	6035	0	0	1	1
1772197000	96	469138	472512	0	592312	6593	0	88	0	10541612	19692	1614341	6037	0	0	1	1
1772197002	98	469138	472512	0	592312	6593	0	88	0	10551617	19855	1614903	6045	0	0	1	1
1772197004	100	469138	472512	0	592312	6593	0	88	0	10566626	20068	1617902	6055	0	0	1	1
1772197006	102	469138	472512	0	592312	6593	0	88	0	10589239	20338	1619915	6063	0	0	1	1
1772197008	104	469138	472512	0	592312	6593	0	88	0	10600623	20523	1621847	6069	0	0	1	1
1772197010	106	469138	472512	0	592312	6593	0	88	0	10610300	20695	1622757	6082	0	0	1	1
1772197012	108	469138	472512	0	592312	6593	0	88	0	10626010	20957	1623417	6091	0	0	1	1
1772197014	110	469138	472512	0	592312	6593	0	88	0	10642158	21205	1623907	6098	0	0	1	1
1772197016	112	469138	472512	0	592312	6593	0	88	0	10716317	21610	1624314	6104	0	0	1	1
1772197018	114	469138	472512	0	592312	6593	0	88	0	10726273	21784	1624603	6108	0	0	1	1
1772197020	116	469138	472512	0	592312	6593	0	88	0	10736506	21925	1624673	6109	0	0	1	1
1772197022	118	469138	472512	0	592312	6593	0	88	0	10748884	22108	1625031	6114	0	0	1	1
1772197024	120	469138	472512	0	592312	6593	0	88	0	10759479	22265	1625241	6117	0	0	1	1
1772197026	122	469138	472512	0	592312	6593	0	88	0	10768830	22410	1625958	6128	0	0	1	1
1772197028	124	469138	472512	0	592312	6593	0	88	0	10782692	22586	1626840	6135	0	0	1	1
1772197030	126	469138	472512	0	592312	6593	0	88	0	10847926	22900	1628516	6161	0	0	1	1
1772197032	128	469138	472512	0	592312	6593	0	88	0	10866501	23148	1629349	6165	0	0	1	1
1772197034	130	469138	472512	0	592312	6593	0	88	0	10878663	23331	1630052	6172	0	0	1	1
1772197036	132	469138	472512	0	592312	6593	0	88	0	10899427	23591	1630295	6175	0	0	1	1
1772197038	134	469138	472512	0	592312	6593	0	88	0	10922073	23827	1636881	6205	0	0	1	1
1772197040	136	469138	472512	0	592312	6593	0	88	0	10940381	24018	1646667	6222	0	0	1	1
1772197042	138	469138	472512	0	592312	6593	0	88	0	10963502	24199	1669395	6265	0	0	1	1
1772197044	140	469138	472512	0	592312	6593	0	88	0	10989182	24408	1685967	6287	0	0	1	1
1772197046	142	469138	472512	0	592312	6593	0	88	0	11073204	24749	1686644	6293	0	0	1	1
1772197048	144	469138	472512	0	592312	6593	0	88	0	11089829	24958	1693125	6313	0	0	1	1
1772197050	146	469138	472512	0	592312	6593	0	88	0	11099458	25102	1693351	6316	0	0	1	1
1772197052	148	469138	472512	0	592312	6593	0	88	0	11118745	25350	1694051	6326	0	0	1	1
1772197054	150	469138	472512	0	592312	6593	0	88	0	11124882	25470	1694191	6328	0	0	1	1
1772197056	152	469138	472512	0	592312	6593	0	88	0	11134625	25619	1695583	6348	0	0	1	1
1772197058	154	469138	472512	0	592312	6593	0	88	0	11158492	25855	1706896	6376	0	0	1	1
1772197060	156	469138	472512	0	592312	6593	0	88	0	11224404	26146	1707570	6385	0	0	1	1
1772197062	158	469138	472512	0	592312	6593	0	88	0	11235879	26316	1707827	6388	0	0	1	1
1772197064	160	469138	472512	0	592312	6593	0	88	0	11249020	26516	1708182	6393	0	0	1	1
1772197066	162	469138	472512	0	592312	6593	0	88	0	11269938	26714	1721226	6417	0	0	1	1
1772197068	164	469138	472512	0	592312	6593	0	88	0	11283561	26876	1721856	6426	0	0	1	1
1772197070	166	469138	472512	0	592312	6593	0	88	0	11297986	27055	1722314	6430	0	0	1	1
1772197072	168	469138	472512	0	592312	6593	0	88	0	11317766	27272	1722512	6433	0	0	1	1
1772197074	170	469138	472512	0	592312	6593	0	88	0	11330913	27458	1722652	6435	0	0	1	1
1772197076	172	469138	472512	0	592312	6593	0	88	0	11399524	27819	1724373	6462	0	0	1	1
1772197078	174	469138	472512	0	592312	6593	0	88	0	11409138	27994	1724527	6464	0	0	1	1
1772197080	176	469138	472512	0	592312	6593	0	88	0	11422129	28171	1724667	6466	0	0	1	1
