Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772196299	0	14396	17700	0	201688	6593	0	88	0	0	0	0	0	0	0	1	1
1772196301	2	98025	101456	0	201688	6593	0	88	0	60238	255	51415	43	0	0	1	1
1772196303	4	98025	101456	0	201688	6593	0	88	0	99909	525	72798	82	0	0	1	1
1772196305	6	98025	101456	0	201688	6593	0	88	0	124324	816	73556	86	0	0	1	1
1772196307	8	98025	101456	0	201688	6593	0	88	0	150527	1015	87640	108	0	0	1	1
1772196309	10	98025	101456	0	201688	6593	0	88	0	164290	1167	88352	110	0	0	1	1
1772196311	12	98025	101456	0	201688	6593	0	88	0	219693	1400	140918	159	0	0	1	1
1772196313	14	98055	101456	0	201688	6593	0	88	0	243742	1612	147744	178	0	0	1	1
1772196315	16	98055	101456	0	201688	6593	0	88	0	253773	1761	147918	181	0	0	1	1
1772196317	18	98055	101456	0	201688	6593	0	88	0	265815	1947	153060	196	0	0	1	1
1772196319	20	98055	101456	0	201688	6593	0	88	0	284390	2190	158384	202	0	0	1	1
1772196321	22	98055	101456	0	201688	6593	0	88	0	332816	2362	193304	225	0	0	1	1
1772196323	24	98055	101456	0	201688	6593	0	88	0	361439	2583	218380	262	0	0	1	1
1772196325	26	98055	101456	0	201688	6593	0	88	0	382497	2878	219062	267	0	0	1	1
1772196327	28	98055	101456	0	201688	6593	0	88	0	401754	3102	219500	269	0	0	1	1
1772196329	30	98055	101456	0	201688	6593	0	88	0	412932	3264	225556	283	0	0	1	1
1772196331	32	98055	101456	0	201688	6593	0	88	0	454236	3447	255483	295	0	0	1	1
1772196333	34	98055	101456	0	201688	6593	0	88	0	484536	3653	283044	350	0	0	1	1
1772196335	36	98055	101456	0	201688	6593	0	88	0	499967	3854	292384	362	0	0	1	1
1772196337	38	98055	101456	0	201688	6593	0	88	0	511944	4035	297597	370	0	0	1	1
1772196339	40	98055	101456	0	201688	6593	0	88	0	545629	4210	326300	412	0	0	1	1
1772196341	42	98055	101456	0	201688	6593	0	88	0	594141	4420	362711	431	0	0	1	1
1772196343	44	98055	101456	0	201688	6593	0	88	0	615927	4626	369779	450	0	0	1	1
1772196345	46	98055	101456	0	201688	6593	0	88	0	634706	4872	372562	456	0	0	1	1
1772196347	48	98055	101456	0	201688	6593	0	88	0	646082	5052	372702	458	0	0	1	1
1772196349	50	98055	101456	0	201688	6593	0	88	0	661133	5247	374309	462	0	0	1	1
1772196351	52	98055	101456	0	201688	6593	0	88	0	700720	5410	404236	474	0	0	1	1
1772196353	54	98055	101456	0	201688	6593	0	88	0	717772	5605	412068	495	0	0	1	1
1772196355	56	98055	101456	0	201688	6593	0	88	0	871572	5887	418398	599	0	0	1	1
1772196357	58	98055	101456	0	201688	6593	0	88	0	1019956	6179	436824	709	0	0	1	1
1772196359	60	98055	101456	0	201688	6593	0	88	0	1088575	6418	441728	750	0	0	1	1
1772196361	62	98055	101456	0	201688	6593	0	88	0	1147370	6651	497812	805	0	0	1	1
1772196363	64	98055	101456	0	201688	6593	0	88	0	1191055	6915	509817	876	0	0	1	1
1772196365	66	98055	101456	0	201688	6593	0	88	0	1220927	7165	530928	907	0	0	1	1
1772196367	68	98055	101456	0	201688	6593	0	88	0	1237005	7378	530998	908	0	0	1	1
1772196369	70	98055	101456	0	201688	6593	0	88	0	1268992	7938	535642	920	0	0	1	1
1772196371	72	98055	101456	0	201688	6593	0	88	0	1371664	8553	640784	1066	0	0	1	1
1772196373	74	98055	101456	0	201688	6593	0	88	0	1414802	8797	666363	1112	0	0	1	1
1772196375	76	98055	101456	0	201688	6593	0	88	0	1435589	9023	669830	1122	0	0	1	1
1772196377	78	98055	101456	0	201688	6593	0	88	0	1467785	9281	699938	1178	0	0	1	1
1772196379	80	98055	101456	0	201688	6593	0	88	0	1503724	9521	737584	1232	0	0	1	1
1772196381	82	98055	101456	0	201688	6593	0	88	0	1574405	9781	791503	1279	0	0	1	1
1772196383	84	98055	101456	0	201688	6593	0	88	0	1617827	10040	823064	1337	0	0	1	1
1772196385	86	98055	101456	0	201688	6593	0	88	0	1685263	10351	883021	1430	0	0	1	1
1772196387	88	98055	101456	0	201688	6593	0	88	0	1725191	10672	897989	1454	0	0	1	1
1772196389	90	98055	101456	0	201688	6593	0	88	0	1745995	10941	901512	1465	0	0	1	1
1772196391	92	98055	101456	0	201688	6593	0	88	0	1804933	11216	933547	1495	0	0	1	1
1772196393	94	98055	101456	0	201688	6593	0	88	0	1829886	11454	942181	1521	0	0	1	1
1772196395	96	98055	101456	0	201688	6593	0	88	0	1851997	11731	958049	1548	0	0	1	1
1772196397	98	98055	101456	0	201688	6593	0	88	0	1880736	12019	989694	1614	0	0	1	1
1772196399	100	98055	101456	0	201688	6593	0	88	0	1918016	12283	1025541	1675	0	0	1	1
1772196401	102	98055	101456	0	201688	6593	0	88	0	1970797	12574	1063377	1721	0	0	1	1
1772196403	104	98055	101456	0	201688	6593	0	88	0	2001912	12813	1081630	1760	0	0	1	1
1772196405	106	98055	101456	0	201688	6593	0	88	0	2030837	13042	1095338	1785	0	0	1	1
1772196407	108	98055	101456	0	201688	6593	0	88	0	2056782	13368	1098252	1801	0	0	1	1
1772196409	110	98055	101456	0	201688	6593	0	88	0	2090020	13629	1132603	1859	0	0	1	1
1772196411	112	98055	101456	0	201688	6593	0	88	0	2121517	13954	2376267	2839	0	0	1	1
1772196413	114	98055	101456	0	201688	6593	0	88	0	2141842	14201	2379070	2853	0	0	1	1
1772196415	116	98055	101456	0	201688	6593	0	88	0	2154388	14389	2379634	2861	0	0	1	1
1772196417	118	98055	101456	0	201688	6593	0	88	0	2166505	14569	2380099	2867	0	0	1	1
1772196419	120	98055	101456	0	201688	6593	0	88	0	2191664	14810	2380572	2873	0	0	1	1
1772196421	122	98055	101456	0	201688	6593	0	88	0	2206586	15005	2627434	3071	0	0	1	1
1772196423	124	98055	101456	0	201688	6593	0	88	0	2228531	15241	2627913	3077	0	0	1	1
1772196425	126	98055	101456	0	201688	6593	0	88	0	2247801	15465	2630578	3092	0	0	1	1
1772196427	128	98055	101456	0	201688	6593	0	88	0	2277886	15778	2631051	3098	0	0	1	1
1772196429	130	98055	101456	0	201688	6593	0	88	0	2298800	15982	2631586	3105	0	0	1	1
